clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,bla_description,bla_class
3,aac(6')-Iaa,AGly,AAC(6'),aac(6')-Iaa,37,ARO_3002571,-,-,no,no,NA,NA
3,aac(6')-Iad,AGly,AAC(6'),aac(6')-Iad,38,ARO_3002572,-,-,no,no,NA,NA
3,aac(6')-Iae,AGly,AAC(6'),aac(6')-Iae,39,ARO_3002573,-,-,no,no,NA,NA
3,aac(6')-Iaf,AGly,AAC(6'),aac(6')-Iaf,40,ARO_3002574,-,-,no,no,NA,NA
3,aac(6')-Iag,AGly,AAC(6'),aac(6')-Iag,41,ARO_3004638,-,-,no,no,NA,NA
3,aac(6')-Iai,AGly,AAC(6'),aac(6')-Iai,42,ARO_3002575,-,-,no,no,NA,NA
3,aac(6')-Iaj,AGly,AAC(6'),aac(6')-Iaj,43,ARO_3003677,-,-,no,no,NA,NA
3,aac(6')-Iak,AGly,AAC(6'),aac(6')-Iak,44,ARO_3003199,-,-,no,no,NA,NA
3,aac(6')-Ian,AGly,AAC(6'),aac(6')-Ian,45,ARO_3003200,-,-,no,no,NA,NA
3,aac(6')-Ib,AGly,AAC(6'),aac(6')-Ib,46,ARO_3002546,-,-,no,no,NA,NA
3,aac(6')-Ib-cr.v1,AGly,AAC(6'),aac(6')-Ib-cr.v1,47,ARG_EF636461,-,-,no,no,NA,NA
3,aac(6')-Ib-cr.v2,AGly,AAC(6'),aac(6')-Ib-cr.v2,48,ARO_3002547,-,-,no,no,NA,NA
3,aac(6')-Ib-Hangzhou,AGly,AAC(6'),aac(6')-Ib-Hangzhou,49,ARO_3002592,-,-,no,no,NA,NA
3,aac(6')-Ib-SK,AGly,AAC(6'),aac(6')-Ib-SK,50,ARO_3002593,-,-,no,no,NA,NA
3,aac(6')-Ib-Suzhou,AGly,AAC(6'),aac(6')-Ib-Suzhou,51,ARO_3002591,-,-,no,no,NA,NA
3,aac(6')-Ib'.v1,AGly,AAC(6'),aac(6')-Ib'.v1,52,ARG_NC_015515,-,-,no,no,NA,NA
3,aac(6')-Ib'.v2,AGly,AAC(6'),aac(6')-Ib'.v2,53,ARO_3003676,-,-,no,no,NA,NA
3,aac(6')-Ib10,AGly,AAC(6'),aac(6')-Ib10,54,ARO_3002581,-,-,no,no,NA,NA
3,aac(6')-Ib11,AGly,AAC(6'),aac(6')-Ib11,55,ARO_3002582,-,-,no,no,NA,NA
3,aac(6')-Ib3,AGly,AAC(6'),aac(6')-Ib3,56,ARO_3002576,-,-,no,no,NA,NA
3,aac(6')-Ib4,AGly,AAC(6'),aac(6')-Ib4,57,ARO_3002577,-,-,no,no,NA,NA
3,aac(6')-Ib7,AGly,AAC(6'),aac(6')-Ib7,58,ARO_3002578,-,-,no,no,NA,NA
3,aac(6')-Ib8,AGly,AAC(6'),aac(6')-Ib8,59,ARO_3002579,-,-,no,no,NA,NA
3,aac(6')-Ib9,AGly,AAC(6'),aac(6')-Ib9,60,ARO_3002580,-,-,no,no,NA,NA
3,aac(6')-Ic,AGly,AAC(6'),aac(6')-Ic,61,ARO_3002549,-,-,no,no,NA,NA
3,aac(6')-If,AGly,AAC(6'),aac(6')-If,62,ARO_3002553,-,-,no,no,NA,NA
3,aac(6')-Ig,AGly,AAC(6'),aac(6')-Ig,63,ARO_3002554,-,-,no,no,NA,NA
3,aac(6')-Ih,AGly,AAC(6'),aac(6')-Ih,64,ARO_3002555,-,-,no,no,NA,NA
3,aac(6')-Ii,AGly,AAC(6'),aac(6')-Ii,65,ARO_3002556,-,-,no,no,NA,NA
3,aac(6')-IIa.v1,AGly,AAC(6'),aac(6')-IIa.v1,66,ARG_M29695,-,-,no,no,NA,NA
3,aac(6')-IIa.v2,AGly,AAC(6'),aac(6')-IIa.v2,67,ARO_3002594,-,-,no,no,NA,NA
3,aac(6')-IIb,AGly,AAC(6'),aac(6')-IIb,68,ARO_3002595,-,-,no,no,NA,NA
3,aac(6')-IIc,AGly,AAC(6'),aac(6')-IIc,69,ARO_3002596,-,-,no,no,NA,NA
3,aac(6')-Iid,AGly,AAC(6'),aac(6')-Iid,70,ARO_3002589,-,-,no,no,NA,NA
3,aac(6')-Iih,AGly,AAC(6'),aac(6')-Iih,71,ARO_3002590,-,-,no,no,NA,NA
3,aac(6')-Ij,AGly,AAC(6'),aac(6')-Ij,72,ARO_3002557,-,-,no,no,NA,NA
3,aac(6')-Ik,AGly,AAC(6'),aac(6')-Ik,73,ARO_3002558,-,-,no,no,NA,NA
3,aac(6')-Il,AGly,AAC(6'),aac(6')-Il,74,ARO_3004635,-,-,no,no,NA,NA
3,aac(6')-Im,AGly,AAC(6'),aac(6')-Im,75,ARO_3004629,-,-,no,no,NA,NA
3,aac(6')-Ip,AGly,AAC(6'),aac(6')-Ip,76,ARO_3002559,-,-,no,no,NA,NA
3,aac(6')-Iq,AGly,AAC(6'),aac(6')-Iq,77,ARO_3002560,-,-,no,no,NA,NA
3,aac(6')-Ir,AGly,AAC(6'),aac(6')-Ir,78,ARO_3002561,-,-,no,no,NA,NA
3,aac(6')-Is,AGly,AAC(6'),aac(6')-Is,79,ARO_3002562,-,-,no,no,NA,NA
3,aac(6')-Isa,AGly,AAC(6'),aac(6')-Isa,80,ARO_3002563,-,-,no,no,NA,NA
3,aac(6')-It,AGly,AAC(6'),aac(6')-It,81,ARO_3002564,-,-,no,no,NA,NA
3,aac(6')-Iu,AGly,AAC(6'),aac(6')-Iu,82,ARO_3002565,-,-,no,no,NA,NA
3,aac(6')-Iv,AGly,AAC(6'),aac(6')-Iv,83,ARO_3002566,-,-,no,no,NA,NA
3,aac(6')-Iw,AGly,AAC(6'),aac(6')-Iw,84,ARO_3002567,-,-,no,no,NA,NA
3,aac(6')-Ix,AGly,AAC(6'),aac(6')-Ix,85,ARO_3002568,-,-,no,no,NA,NA
3,aac(6')-Iy,AGly,AAC(6'),aac(6')-Iy,86,ARO_3002569,-,-,no,no,NA,NA
3,aac(6')-Iz,AGly,AAC(6'),aac(6')-Iz,87,ARO_3002570,-,-,no,no,NA,NA
3,aac6-Id.v1,AGly,AAC(6'),aac6-Id.v1,88,ARG_X12618,-,-,no,no,NA,NA
3,aacA43,AGly,AAC(6'),aacA43,89,ARO_3004641,-,-,no,no,NA,NA
3,ant(3'')-Ii-aac(6')-Iid,AGly,AAC(6');ANT(3''),ant(3'')-Ii-aac(6')-Iid,90,ARO_3002598,-,-,no,no,NA,NA
3,aac(6')-Ie-aph(2'')-Ia,AGly,AAC(6');APH(2''),aac(6')-Ie-aph(2'')-Ia,91,ARO_3002597,-,-,no,no,NA,NA
4,ant(2'')-Ia,AGly,ANT(2''),ant(2'')-Ia,92,ARO_3000230,-,-,no,no,NA,NA
5,aadA,AGly,ANT(3''),aadA,93,ARO_3002601,-,-,no,no,NA,NA
5,aadA1.v1,AGly,ANT(3''),aadA1.v1,94,ARG_M95287,-,-,no,no,NA,NA
5,aadA10,AGly,ANT(3''),aadA10,95,ARO_3004692,-,-,no,no,NA,NA
5,aadA11.v1,AGly,ANT(3''),aadA11.v1,96,ARG_AJ567827,-,-,no,no,NA,NA
5,aadA11.v2,AGly,ANT(3''),aadA11.v2,97,ARO_3002611,-,-,no,no,NA,NA
5,aadA12,AGly,ANT(3''),aadA12,98,ARO_3002612,-,-,no,no,NA,NA
5,aadA13,AGly,ANT(3''),aadA13,99,ARO_3002613,-,-,no,no,NA,NA
5,aadA14,AGly,ANT(3''),aadA14,100,ARO_3002614,-,-,no,no,NA,NA
5,aadA15,AGly,ANT(3''),aadA15,101,ARO_3002615,-,-,no,no,NA,NA
5,aadA16,AGly,ANT(3''),aadA16,102,ARO_3002616,-,-,no,no,NA,NA
5,aadA17,AGly,ANT(3''),aadA17,103,ARO_3002617,-,-,no,no,NA,NA
5,aadA2,AGly,ANT(3''),aadA2,104,ARO_3002602,-,-,no,no,NA,NA
5,aadA21,AGly,ANT(3''),aadA21,105,ARO_3002618,-,-,no,no,NA,NA
5,aadA22,AGly,ANT(3''),aadA22,106,ARO_3002619,-,-,no,no,NA,NA
5,aadA23,AGly,ANT(3''),aadA23,107,ARO_3002620,-,-,no,no,NA,NA
5,aadA24,AGly,ANT(3''),aadA24,108,ARO_3002621,-,-,no,no,NA,NA
5,aadA25,AGly,ANT(3''),aadA25,109,ARO_3003197,-,-,no,no,NA,NA
5,aadA27,AGly,ANT(3''),aadA27,110,ARO_3004682,-,-,no,no,NA,NA
5,aadA3,AGly,ANT(3''),aadA3,111,ARO_3002603,-,-,no,no,NA,NA
5,aadA4.v1,AGly,ANT(3''),aadA4.v1,112,ARG_Z50802,-,-,no,no,NA,NA
5,aadA4.v2,AGly,ANT(3''),aadA4.v2,113,ARO_3002604,-,-,no,no,NA,NA
5,aadA5,AGly,ANT(3''),aadA5,114,ARO_3002605,-,-,no,no,NA,NA
5,aadA6,AGly,ANT(3''),aadA6,115,ARO_3002606,-,-,no,no,NA,NA
5,aadA6/aadA10,AGly,ANT(3''),aadA6/aadA10,116,ARO_3002622,-,-,no,no,NA,NA
5,aadA7.v1,AGly,ANT(3''),aadA7.v1,117,ARG_AF224733,-,-,no,no,NA,NA
5,aadA7.v2,AGly,ANT(3''),aadA7.v2,118,ARO_3002607,-,-,no,no,NA,NA
5,aadA8.v1,AGly,ANT(3''),aadA8.v1,119,ARG_AF326210,-,-,no,no,NA,NA
5,aadA8.v2,AGly,ANT(3''),aadA8.v2,120,ARO_3002608,-,-,no,no,NA,NA
5,aadA8b,AGly,ANT(3''),aadA8b,121,ARO_3004704,-,-,no,no,NA,NA
5,aadA9.v1,AGly,ANT(3''),aadA9.v1,122,ARG_AJ420072,-,-,no,no,NA,NA
5,aadA9.v2,AGly,ANT(3''),aadA9.v2,123,ARO_3002609,-,-,no,no,NA,NA
5,ant(3'')-IIa,AGly,ANT(3''),ant(3'')-IIa,124,ARO_3004089,-,-,no,no,NA,NA
5,ant(3'')-IIb,AGly,ANT(3''),ant(3'')-IIb,125,ARO_3004090,-,-,no,no,NA,NA
5,ant(3'')-IIc,AGly,ANT(3''),ant(3'')-IIc,126,ARO_3004091,-,-,no,no,NA,NA
6,ant(4')-Ia,AGly,ANT(4'),ant(4')-Ia,127,ARO_3002623,-,-,no,no,NA,NA
6,ant(4')-Ib,AGly,ANT(4'),ant(4')-Ib,128,ARO_3003905,-,-,no,no,NA,NA
6,ant(4')-IIa,AGly,ANT(4'),ant(4')-IIa,129,ARO_3002624,-,-,no,no,NA,NA
6,ant(4')-IIb,AGly,ANT(4'),ant(4')-IIb,130,ARO_3002625,-,-,no,no,NA,NA
7,aad(6),AGly,ANT(6),aad(6),131,ARO_3002628,-,-,no,no,NA,NA
7,aadK,AGly,ANT(6),aadK,132,ARO_3002627,-,-,no,no,NA,NA
7,aadS,AGly,ANT(6),aadS,133,ARO_3004683,-,-,no,no,NA,NA
7,ant(6)-Ia,AGly,ANT(6),ant(6)-Ia,134,ARO_3002626,-,-,no,no,NA,NA
7,ant(6)-Ib,AGly,ANT(6),ant(6)-Ib,135,ARO_3002629,-,-,no,no,NA,NA
7,ant6-Ia.v1,AGly,ANT(6),ant6-Ia.v1,136,ARG_ X92945,-,-,no,no,NA,NA
8,ant(9)-Ia,AGly,ANT(9),ant(9)-Ia,137,ARO_3002630,-,-,no,no,NA,NA
8,spd,AGly,ANT(9),spd,138,ARO_3002631,-,-,no,no,NA,NA
9,aph(2'')-Ie,AGly,APH(2''),aph(2'')-Ie,139,ARO_3002634,-,-,no,no,NA,NA
9,aph(2'')-If,AGly,APH(2''),aph(2'')-If,140,ARO_3004191,-,-,no,no,NA,NA
9,aph(2'')-Ig,AGly,APH(2''),aph(2'')-Ig,141,ARO_3002669,-,-,no,no,NA,NA
9,aph(2'')-IIa,AGly,APH(2''),aph(2'')-IIa,142,ARO_3002635,-,-,no,no,NA,NA
9,aph(2'')-IIIa,AGly,APH(2''),aph(2'')-IIIa,143,ARO_3002636,-,-,no,no,NA,NA
9,aph(2'')-IVa,AGly,APH(2''),aph(2'')-IVa,144,ARO_3002637,-,-,no,no,NA,NA
10,aph(3'')-Ia,AGly,APH(3''),aph(3'')-Ia,145,ARO_3002638,-,-,no,no,NA,NA
10,aph(3'')-Ib,AGly,APH(3''),aph(3'')-Ib,146,ARO_3002639,-,-,no,no,NA,NA
10,aph(3'')-Ic,AGly,APH(3''),aph(3'')-Ic,147,ARO_3002640,-,-,no,no,NA,NA
11,aph(3')-Ia,AGly,APH(3'),aph(3')-Ia,148,ARO_3002641,-,-,no,no,NA,NA
11,aph(3')-Ib,AGly,APH(3'),aph(3')-Ib,149,ARO_3002642,-,-,no,no,NA,NA
11,aph(3')-IIa,AGly,APH(3'),aph(3')-IIa,150,ARO_3002644,-,-,no,no,NA,NA
11,aph(3')-IIb,AGly,APH(3'),aph(3')-IIb,151,ARO_3002645,-,-,no,no,NA,NA
11,aph(3')-IIc,AGly,APH(3'),aph(3')-IIc,152,ARO_3002646,-,-,no,no,NA,NA
11,aph(3')-IIIa,AGly,APH(3'),aph(3')-IIIa,153,ARO_3002647,-,-,no,no,NA,NA
11,aph(3')-IVa,AGly,APH(3'),aph(3')-IVa,154,ARO_3002648,-,-,no,no,NA,NA
11,aph(3')-IX,AGly,APH(3'),aph(3')-IX,155,ARO_3004087,-,-,no,no,NA,NA
11,aph(3')-Va,AGly,APH(3'),aph(3')-Va,156,ARO_3002649,-,-,no,no,NA,NA
11,aph(3')-Vb,AGly,APH(3'),aph(3')-Vb,157,ARO_3002650,-,-,no,no,NA,NA
11,aph(3')-Vc,AGly,APH(3'),aph(3')-Vc,158,ARO_3002651,-,-,no,no,NA,NA
11,aph(3')-VI,AGly,APH(3'),aph(3')-VI,159,ARO_3003687,-,-,no,no,NA,NA
11,aph(3')-VIa,AGly,APH(3'),aph(3')-VIa,160,ARO_3002652,-,-,no,no,NA,NA
11,aph(3')-VIIa,AGly,APH(3'),aph(3')-VIIa,161,ARO_3002654,-,-,no,no,NA,NA
11,aph(3')-VIIIa,AGly,APH(3'),aph(3')-VIIIa,162,ARO_3004680,-,-,no,no,NA,NA
11,aph(3')-VIIIb,AGly,APH(3'),aph(3')-VIIIb,163,ARO_3004086,-,-,no,no,NA,NA
11,aphA15,AGly,APH(3'),aphA15,164,ARO_3004675,-,-,no,no,NA,NA
11,aph3-Ia.v1,AGly,APH(3'),aph3-Ia.v1,165,ARG_HQ840942,-,-,no,no,NA,NA
12,aph(4)-Ia,AGly,APH(4),aph(4)-Ia,166,ARO_3002655,-,-,no,no,NA,NA
12,aph(4)-Ib,AGly,APH(4),aph(4)-Ib,167,ARO_3002656,-,-,no,no,NA,NA
13,aph(6)-Ia.v1,AGly,APH(6),aph(6)-Ia.v1,168,ARG_AY971801,-,-,no,no,NA,NA
13,aph(6)-Ia.v2,AGly,APH(6),aph(6)-Ia.v2,169,ARO_3002657,-,-,no,no,NA,NA
13,aph(6)-Ib,AGly,APH(6),aph(6)-Ib,170,ARO_3002658,-,-,no,no,NA,NA
13,aph(6)-Id.v1,AGly,APH(6),aph(6)-Id.v1,171,ARG_KP119857,-,-,no,no,NA,NA
13,aph(6)-Id.v2,AGly,APH(6),aph(6)-Id.v2,172,ARO_3002660,-,-,no,no,NA,NA
13,sph.v1,AGly,APH(6),sph.v1,173,ARG_AY037297,-,-,no,no,NA,NA
13,sph.v2,AGly,APH(6),sph.v2,174,ARO_3002659,-,-,no,no,NA,NA
14,aph(7'')-Ia,AGly,APH(7''),aph(7'')-Ia,175,ARO_3002661,-,-,no,no,NA,NA
15,aph(9)-Ia,AGly,APH(9),aph(9)-Ia,176,ARO_3002662,-,-,no,no,NA,NA
15,aph(9)-Ib.v1,AGly,APH(9),aph(9)-Ib.v1,177,ARG_U70376,-,-,no,no,NA,NA
15,aph(9)-Ib.v2,AGly,APH(9),aph(9)-Ib.v2,178,ARO_3002663,-,-,no,no,NA,NA
16,apmA,AGly,ApmA,apmA,179,ARO_3003918,-,-,no,no,NA,NA
17,armA,AGly,ArmA,armA,180,ARO_3000858,-,-,no,no,NA,NA
18,kamB,AGly,KamB,kamB,181,ARO_3004102,-,-,no,no,NA,NA
19,npmA,AGly,NpmA,npmA,182,ARO_3002665,-,-,no,no,NA,NA
20,rmtA,AGly,RmtA,rmtA,183,ARO_3000859,-,-,no,no,NA,NA
21,rmtB,AGly,RmtB,rmtB,184,ARO_3000860,-,-,no,no,NA,NA
22,rmtC,AGly,RmtC,rmtC,185,ARO_3000861,-,-,no,no,NA,NA
23,rmtD,AGly,RmtD,rmtD,186,ARO_3002667,-,-,no,no,NA,NA
24,rmtD2,AGly,RmtD,rmtD2,187,ARO_3004677,-,-,no,no,NA,NA
25,rmtE,AGly,RmtE,rmtE,188,ARO_3004678,-,-,no,no,NA,NA
25,rmtE2,AGly,RmtE,rmtE2,189,ARO_3004679,-,-,no,no,NA,NA
26,rmtF,AGly,RmtF,rmtF,190,ARO_3002666,-,-,no,no,NA,NA
27,rmtG,AGly,RmtG,rmtG,191,ARO_3002668,-,-,no,no,NA,NA
28,rmtH,AGly,RmtH,rmtH,192,ARO_3003198,-,-,no,no,NA,NA
29,sat-2,AGly,SAT,sat-2,193,ARO_3002895,-,-,no,no,NA,NA
29,sat-3,AGly,SAT,sat-3,194,ARO_3002898,-,-,no,no,NA,NA
29,sat-4,AGly,SAT,sat-4,195,ARO_3002897,-,-,no,no,NA,NA
30,sgm,AGly,Sgm,sgm,196,ARO_3000862,-,-,no,no,NA,NA
31,sta,AGly,Sta,sta,197,ARO_3004699,-,-,no,no,NA,NA
32,ACC-1,Bla,ACC,ACC-1,198,ARO_3001815,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
32,ACC-2,Bla,ACC,ACC-2,199,ARO_3001816,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
32,ACC-4,Bla,ACC,ACC-4,200,ARO_3001818,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
32,ACC-5,Bla,ACC,ACC-5,201,ARO_3001819,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
33,ACI-1,Bla,ACI,ACI-1,202,ARO_3004359,-,-,no,no,class A extended-spectrum beta-lactamase,Bla_ESBL
34,ACT-1,Bla,ACT,ACT-1,203,ARO_3001821,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-10,Bla,ACT,ACT-10,204,ARO_3001832,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-12,Bla,ACT,ACT-12,205,ARO_3001834,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-13,Bla,ACT,ACT-13,206,ARO_3001835,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-14,Bla,ACT,ACT-14,207,ARO_3001836,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-15,Bla,ACT,ACT-15,208,ARO_3001837,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-16,Bla,ACT,ACT-16,209,ARO_3001827,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-17,Bla,ACT,ACT-17,210,ARO_3001838,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-18,Bla,ACT,ACT-18,211,ARO_3001839,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-19,Bla,ACT,ACT-19,212,ARO_3001840,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-2,Bla,ACT,ACT-2,213,ARO_3001822,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-20,Bla,ACT,ACT-20,214,ARO_3001841,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-21,Bla,ACT,ACT-21,215,ARO_3001842,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-22,Bla,ACT,ACT-22,216,ARO_3001843,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-23,Bla,ACT,ACT-23,217,ARO_3001828,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-24,Bla,ACT,ACT-24,218,ARO_3001844,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-25,Bla,ACT,ACT-25,219,ARO_3001845,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-27,Bla,ACT,ACT-27,220,ARO_3001847,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-28,Bla,ACT,ACT-28,221,ARO_3001848,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-29,Bla,ACT,ACT-29,222,ARO_3001849,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-3,Bla,ACT,ACT-3,223,ARO_3001823,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-30,Bla,ACT,ACT-30,224,ARO_3001850,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-31,Bla,ACT,ACT-31,225,ARO_3001851,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-32,Bla,ACT,ACT-32,226,ARO_3001852,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-33,Bla,ACT,ACT-33,227,ARO_3001853,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-35,Bla,ACT,ACT-35,228,ARO_3001855,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-36,Bla,ACT,ACT-36,229,ARO_3003171,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-37,Bla,ACT,ACT-37,230,ARO_3003172,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-38,Bla,ACT,ACT-38,231,ARO_3003655,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-4,Bla,ACT,ACT-4,232,ARO_3001829,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-5,Bla,ACT,ACT-5,233,ARO_3001824,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-6,Bla,ACT,ACT-6,234,ARO_3001825,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-7,Bla,ACT,ACT-7,235,ARO_3001830,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-8,Bla,ACT,ACT-8,236,ARO_3001831,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
34,ACT-9,Bla,ACT,ACT-9,237,ARO_3001826,-,-,no,no,cephalosporin-hydrolyzing class C beta-lactamase,Bla
35,ADC-2,Bla,ADC,ADC-2,238,ARO_3003848,-,-,no,no,class C beta-lactamase,Bla
35,ADC-25,Bla,ADC,ADC-25,239,ARO_3003868,-,-,no,no,class C beta-lactamase,Bla
35,ADC-3,Bla,ADC,ADC-3,240,ARO_3003849,-,-,no,no,class C beta-lactamase,Bla
35,ADC-39,Bla,ADC,ADC-39,241,ARO_3003871,-,-,no,no,class C beta-lactamase,Bla
35,ADC-4,Bla,ADC,ADC-4,242,ARO_3003850,-,-,no,no,class C beta-lactamase,Bla
