seqID,clusterid,gene,allele,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,idInFile,symbol,class,accession,positions,size,Lahey,Bla_Class
536,146,Aph-Ib_AGly,Aph6-Ib,yes,yes,AGly___Aph6-Ib___X05648___382-1305___924,Aph6-Ib,AGly,X05648,382-1305,924,NA,NA
537,146,Aph-Ib_AGly,Aph9-Ib,yes,yes,AGly___Aph9-Ib___U70376___3618-4541___996,Aph9-Ib,AGly,U70376,3618-4541,996,NA,NA
540,145,Aph6-Ia_AGly,Aph6-Ia,no,yes,AGly___Aph6-Ia___AY971801___1-924___924,Aph6-Ia,AGly,AY971801,1-924,924,NA,NA
550,148,Aph2''Ic_AGly,Aph2''Ic,no,no,AGly___Aph2''Ic___U51479___196-1116___921,Aph2''Ic,AGly,U51479,196-1116,921,NA,NA
586,407,Sat4A_AGly,Sat4A,no,no,AGly___Sat4A___X92945___38870-39412___543,Sat4A,AGly,X92945,38870-39412,543,NA,NA
587,406,Sat3_AGly,Sat3,no,no,AGly___Sat3___Z48231___221-763___543,Sat3,AGly,Z48231,221-763,543,NA,NA
588,405,Aac6-IIb_AGly,Aac6-IIb,no,yes,AGly___Aac6-IIb___L06163___532-1074___543,Aac6-IIb,AGly,L06163,532-1074,543,NA,NA
589,404,Aac2-Ic_AGly,Aac2-Ic,no,yes,AGly___Aac2-Ic___U72714___373-918___546,Aac2-Ic,AGly,U72714,373-918,546,NA,NA
591,402,Aac6-Ii_AGly,Aac6-Ii,no,yes,AGly___Aac6-Ii___L12710___169-717___549,Aac6-Ii,AGly,L12710,169-717,549,NA,NA
592,401,Aac2-Ie_AGly,Aac2-Ie,no,yes,AGly___Aac2-Ie___NC_011896___3039059-3039607___549,Aac2-Ie,AGly,NC_011896,3039059-3039607,549,NA,NA
594,409,Aac6-Im_AGly,Aac6-Im,no,yes,AGly___Aac6-Im___AF337947___1215-1751___537,Aac6-Im,AGly,AF337947,1215-1751,537,NA,NA
595,408,Aac2-Ia_AGly,Aac2-Ia,no,yes,AGly___Aac2-Ia___L06156___264-800___537,Aac2-Ia,AGly,L06156,264-800,537,NA,NA
616,397,Aac6-32_AGly,Aac6-32,no,yes,AGly___Aac6-32___EF614235___2247-2801___555,Aac6-32,AGly,EF614235,2247-2801,555,NA,NA
617,397,Aac6-32_AGly,Aac6-IIa,no,yes,AGly___Aac6-IIa___M29695___707-1261___555,Aac6-IIa,AGly,M29695,707-1261,555,NA,NA
618,396,Aac_AGly,Aac,no,no,AGly___Aac___AJ628983___1985-2539___555,Aac,AGly,AJ628983,1985-2539,555,NA,NA
620,394,Aac6-Ia_AGly,Aac6-Ia,no,yes,AGly___Aac6-Ia___M18967___757-1314___558,Aac6-Ia,AGly,M18967,757-1314,558,NA,NA
647,246,RmtE_AGly,RmtE,no,no,AGly___RmtE___GU201947___55-876___822,RmtE,AGly,GU201947,55-876,822,NA,NA
649,240,ApmA_AGly,ApmA,no,no,AGly___ApmA___FN806789___2858-3682___822,ApmA,AGly,FN806789,2858-3682,822,NA,NA
752,450,Aac6-Ih_AGly,Aac6-Ih,no,yes,AGly___Aac6-Ih___L29044___352-792___441,Aac6-Ih,AGly,L29044,352-792,441,NA,NA
753,450,Aac6-Ih_AGly,Aac6-Is,no,yes,AGly___Aac6-Is___AF031327___1-441___441,Aac6-Is,AGly,AF031327,1-441,441,NA,NA
754,450,Aac6-Ih_AGly,Aac6-It,no,yes,AGly___Aac6-It___AF031328___1-441___441,Aac6-It,AGly,AF031328,1-441,441,NA,NA
755,450,Aac6-Ih_AGly,Aac6-Iu,no,yes,AGly___Aac6-Iu___AF031329___1-441___441,Aac6-Iu,AGly,AF031329,1-441,441,NA,NA
756,450,Aac6-Ih_AGly,Aac6-Iv,no,yes,AGly___Aac6-Iv___AF031330___1-441___441,Aac6-Iv,AGly,AF031330,1-441,441,NA,NA
757,451,Aac6-Ij_AGly,Aac6-Ij,no,yes,AGly___Aac6-Ij___L29045___260-700___441,Aac6-Ij,AGly,L29045,260-700,441,NA,NA
758,452,Aac6-Ir_AGly,Aac6-Ir,no,yes,AGly___Aac6-Ir___AF031326___1-441___441,Aac6-Ir,AGly,AF031326,1-441,441,NA,NA
759,453,Aac6-Iw_AGly,Aac6-Iw,no,yes,AGly___Aac6-Iw___AF031331___1-441___441,Aac6-Iw,AGly,AF031331,1-441,441,NA,NA
760,454,Aac6-Iaa_AGly,Aac6-Iaa,no,yes,AGly___Aac6-Iaa___NC_003197___1707358-1707795___438,Aac6-Iaa,AGly,NC_003197,1707358-1707795,438,NA,NA
761,454,Aac6-Iaa_AGly,Aac6-Iy,no,yes,AGly___Aac6-Iy___AF144880___3452-3979___438,Aac6-Iy,AGly,AF144880,3452-3979,438,NA,NA
762,455,Aac6-Ig_AGly,Aac6-Ig,no,yes,AGly___Aac6-Ig___L09246___544-981___438,Aac6-Ig,AGly,L09246,544-981,438,NA,NA
763,455,Aac6-Ig_AGly,Aac6-Ik,no,yes,AGly___Aac6-Ik___L29510___369-806___438,Aac6-Ik,AGly,L29510,369-806,438,NA,NA
764,456,Aac6-Iad_AGly,Aac6-Iad,no,yes,AGly___3Aac6-Iad___AB119105___1-435___435,Aac6-Iad,AGly,AB119105,1-435,435,NA,NA
765,457,Aac6-If_AGly,Aac6-If,no,yes,AGly___Aac6-If___X55353___279-713___435,Aac6-If,AGly,X55353,279-713,435,NA,NA
778,173,AadE-K_AGly,AadE-Pp,yes,no,AGly___AadE-Pp___HE577054___1299623-1300477___855,AadE-Pp,AGly,HE577054,1299623-1300477,855,NA,NA
779,173,AadE-K_AGly,AadK-Pm,yes,no,AGly___AadK-Pm___CP002869___c4442322-4441435___888,AadK-Pm,AGly,CP002869,c4442322-4441435,888,NA,NA
784,253,Aph3-Ib_AGly,Aph3-Ib,no,yes,AGly___Aph3-Ib___M20305___779-1594___816,Aph3-Ib,AGly,M20305,779-1594,816,NA,NA
882,203,Aac3-IIa_AGly,Aac3-IIa,no,yes,AGly___Aac3-IIa___X51534___91-951___861,Aac3-IIa,AGly,X51534,91-951,861,NA,NA
883,203,Aac3-IIa_AGly,Aac3-IIc,no,yes,AGly___Aac3-IIc___X54723___819-1679___861,Aac3-IIc,AGly,X54723,819-1679,861,NA,NA
884,203,Aac3-IIa_AGly,Aac3-IId,no,yes,AGly___Aac3-IId___EU022314___1-861___861,Aac3-IId,AGly,EU022314,1-861,861,NA,NA
885,203,Aac3-IIa_AGly,Aac3-IIe,no,yes,AGly___Aac3-IIe___EU022315___1-861___861,Aac3-IIe,AGly,EU022315,1-861,861,NA,NA
1038,204,Aac8_AGly,Aac8,no,no,AGly___Aac8___M55426___466-1326___861,Aac8,AGly,M55426,466-1326,861,NA,NA
1040,206,Ant6-Ib_AGly,Ant6-Ib,no,yes,AGly___Ant6-Ib___FN594949___27482-28339___858,Ant6-Ib,AGly,FN594949,27482-28339,858,NA,NA
1043,208,Aac3-Xa_AGly,Aac3-Xa,no,yes,AGly___Aac3-Xa___AB028210___2711-3565___855,Aac3-Xa,AGly,AB028210,2711-3565,855,NA,NA
1061,121,Aph4-Ia_AGly,Aph4-Ia,no,yes,AGly___Aph4-Ia___V01499___231-1256___1026,Aph4-Ia,AGly,V01499,231-1256,1026,NA,NA
1065,125,Aac3-Ib_AGly,Aac3-Ib,no,yes,AGly___Aac3-Ib___L06157___555-1085___531,Aac3-Ib,AGly,L06157,555-1085,531,NA,NA
1066,125,Aac3-Ib_AGly,Aac3-Ib-Aac6-Ib,no,yes,AGly___Aac3-Ib-Aac6-Ib___AF355189___1435-2439___1005,Aac3-Ib-Aac6-Ib,AGly,AF355189,1435-2439,1005,NA,NA
1067,125,Aac3-Ib_AGly,Aac3-If,no,yes,AGly___Aac3-If___AY884051___61-525___468,Aac3-If,AGly,AY884051,61-525,468,NA,NA
1068,126,Aph4-Ib_AGly,Aph4-Ib,no,yes,AGly___Aph4-Ib___X03615___232-1230___999,Aph4-Ib,AGly,X03615,232-1230,999,NA,NA
1069,127,Aph9-Ia_AGly,Aph9-Ia,no,yes,AGly___Aph9-Ia___U94857___151-1146___996,Aph9-Ia,AGly,U94857,151-1146,996,NA,NA
1083,410,Aac3-I_AGly,Aac3-I,no,yes,AGly___Aac3-I___AJ877225___5293-5757___465,Aac3-I,AGly,AJ877225,5293-5757,465,NA,NA
1084,410,Aac3-I_AGly,Aac3-I,no,yes,AGly___Aac3-I___X15852___1250-1783___534,Aac3-I,AGly,X15852,1250-1783,534,NA,NA
1085,411,AadB_AGly,AadB,yes,no,AGly___AadB___JQ690540___4275-4808___534,AadB,AGly,JQ690540,4275-4808,534,NA,NA
1086,411,AadB_AGly,Ant''Ia,yes,no,AGly___Ant''Ia___GQ388247___7505-8038___543,Ant''Ia,AGly,GQ388247,7505-8038,543,NA,NA
1088,413,Sat-2A_AGly,Sat-2A,no,no,AGly___Sat-2A___X51546___518-1042___525,Sat-2A,AGly,X51546,518-1042,525,NA,NA
1095,319,RmtD_AGly,RmtD,yes,no,AGly___RmtD___DQ914960___9632-8889___744,RmtD,AGly,DQ914960,9632-8889,744,NA,NA
1096,319,RmtD_AGly,RmtD2,yes,no,AGly___RmtD2___HQ401565___14882-14139___744,RmtD2,AGly,HQ401565,14882-14139,744,NA,NA
1137,312,Aph3-VIIa_AGly,Aph3-VIIa,no,yes,AGly___Aph3-VIIa___M29953___131-1036___753,Aph3-VIIa,AGly,M29953,131-1036,753,NA,NA
1176,369,Aac2-Id_AGly,Aac2-Id,no,yes,AGly___Aac2-Id______U72743___386-1018___533,Aac2-Id,AGly,U72743,386-1018,533,NA,NA
1194,384,Aac2-Ib_AGly,Aac2-Ib,no,yes,AGly___Aac2-Ib___U41471___266-822___588,Aac2-Ib,AGly,U41471,266-822,588,NA,NA
1195,385,Aac6-IIc_AGly,Aac6-IIc,no,yes,AGly___Aac6-IIc___AF162771___62-643___582,Aac6-IIc,AGly,AF162771,62-643,582,NA,NA
1205,258,Aac3-Vb_AGly,Aac3-Vb,no,yes,AGly___Aac3-Vb___M97172___656-1465___810,Aac3-Vb,AGly,M97172,656-1465,810,NA,NA
1214,252,Aph3-Id_AGly,Aph3-Id,no,yes,AGly___Aph3-Id___Z48231___820-1635___816,Aph3-Id,AGly,Z48231,820-1635,816,NA,NA
1216,250,Aac-IIIa_AGly,Aac-IIIa,no,no,AGly___Aac-IIIa___X55652___1124-1939___816,Aac-IIIa,AGly,X55652,1124-1939,816,NA,NA
1217,251,Aph3''Ia_AGly,Aph3''Ia,yes,no,AGly___Aph3''Ia___FJ172370___38668-39483___816,Aph3''Ia,AGly,FJ172370,38668-39483,816,NA,NA
1218,251,Aph3''Ia_AGly,Aph3-Ia,yes,yes,AGly___Aph3-Ia___HQ840942___23569-24384___816,Aph3-Ia,AGly,HQ840942,23569-24384,816,NA,NA
1237,461,AacA29b_AGly,AacA29b,no,no,AGly___AacA29b___AY139599___768-1148___381,AacA29b,AGly,AY139599,768-1148,381,NA,NA
1238,460,Aac6_AGly,Aac6,no,no,AGly___Aac6___DQ302723___81-482___402,Aac6,AGly,DQ302723,81-482,402,NA,NA
1452,162,Aac3-VIa_AGly,Aac3-VIa,no,yes,AGly___Aac3-VIa___M88012___193-1092___900,Aac3-VIa,AGly,M88012,193-1092,900,NA,NA
1453,163,Aph2-Ib_AGly,Aph2-Ib,no,no,AGly___Aph2-Ib___AF207840___272-1171___900,Aph2-Ib,AGly,AF207840,272-1171,900,NA,NA
1478,214,Aac3-IXa_AGly,Aac3-IXa,no,yes,AGly___Aac3-IXa___M55427___274-1119___846,Aac3-IXa,AGly,M55427,274-1119,846,NA,NA
1479,215,RmtC_AGly,RmtC,no,no,AGly___RmtC___AB194779___6903-7748___846,RmtC,AGly,AB194779,6903-7748,846,NA,NA
1480,212,Str_AGly,Str,no,no,AGly___Str___X92946___18908-18060___849,Str,AGly,X92946,18908-18060,849,NA,NA
1487,219,Aph_AGly,Aph6-I,yes,yes,AGly___Aph6-I___X01702___485-1285___801,Aph6-I,AGly,X01702,485-1285,801,NA,NA
1488,219,Aph_AGly,Sph,yes,no,AGly___Sph___AY037297___3548-2706___801,Sph,AGly,AY037297,3548-2706,801,NA,NA
1489,289,Aac3-Iva_AGly,Aac3-Iva,no,no,AGly___Aac___-IVa___X01385___244-1029___786,Aac3-Iva,AGly,X01385,244-1029,786,NA,NA
1492,281,AphA2_AGly,AphA2,no,no,AGly___AphA2___X57709___1-795___795,AphA2,AGly,X57709,1-795,795,NA,NA
1493,280,RmtG_AGly,RmtG,no,no,AGly___RmtG______JX486113___1-795___795,RmtG,AGly,JX486113,1-795,795,NA,NA
1496,285,AadA4-5_AGly,AadA4,yes,no,AGly___AadA4___AY138986___1-798___789,AadA4,AGly,AY138986,1-798,789,NA,NA
1497,285,AadA4-5_AGly,AadA5,yes,no,AGly___AadA5___AF137361___64-852___789,AadA5,AGly,AF137361,64-852,789,NA,NA
1500,286,Aph3-IV_AGly,Aph3-IV,no,yes,AGly___Aph3-IV___X03364___277-1065___789,Aph3-IV,AGly,X03364,277-1065,789,NA,NA
1501,263,StrA_AGly,StrA,no,no,AGly___StrA___AB366441___22458-23261___804,StrA,AGly,AB366441,22458-23261,804,NA,NA
1503,261,Aph3-IIb_AGly,Aph3-IIb,no,yes,AGly___Aph3-IIb___X90856___388-1194___807,Aph3-IIb,AGly,X90856,388-1194,807,NA,NA
1511,265,Aph3_AGly,AphVIII,yes,no,AGly___AphVIII___AF182845___1-804___804,AphVIII,AGly,AF182845,1-804,804,NA,NA
1512,265,Aph3_AGly,Aph3-Va,yes,yes,AGly___Aph3-Va___U24442___680-1456___780,Aph3-Va,AGly,U24442,680-1456,780,NA,NA
1513,264,Aph3-IIc_AGly,Aph3-IIc,no,yes,AGly___Aph3-IIc___HQ424460___2-805___804,Aph3-IIc,AGly,HQ424460,2-805,804,NA,NA
1534,268,APH-Stph_AGly,APH-Stph,no,no,AGly___APH-Stph___HE579073___1778413-1779213___801,APH-Stph,AGly,HE579073,1778413-1779213,801,NA,NA
1569,429,AadC_AGly,AadC,no,no,AGly___AadC___V01282___225-701___477,AadC,AGly,V01282,225-701,477,NA,NA
1570,428,Aac3-Ig_AGly,Aac3-Ig,no,yes,AGly___Aac3-Ig___CP000282___2333620-2334096___477,Aac3-Ig,AGly,CP000282,2333620-2334096,477,NA,NA
1577,427,Aac3-Id_AGly,Aac3-Id,no,yes,AGly___Aac3-Id___AB114632___104-580___477,Aac3-Id,AGly,AB114632,104-580,477,NA,NA
1579,308,RmtA_AGly,RmtA,no,no,AGly___RmtA___AB120321___6677-7432___756,RmtA,AGly,AB120321,6677-7432,756,NA,NA
1580,309,RmtB_AGly,RmtB,no,no,AGly___RmtB___AB103506___1410-2165___756,RmtB,AGly,AB103506,1410-2165,756,NA,NA
1581,300,Ant4-Ib_AGly,Ant4-Ib,no,yes,AGly___Ant4-Ib___AJ506108___209-979___771,Ant4-Ib,AGly,AJ506108,209-979,771,NA,NA
1582,301,Aad9_Agly,Aad9,no,no,Agly___Aad9___M69221___271-1038___768,Aad9,AGly,M69221,271-1038,768,NA,NA
1592,303,Aph3''Ic_AGly,Aph3''Ic,no,no,AGly___Aph3''Ic___DQ336355___603-1367___816,Aph3''Ic,AGly,DQ336355,603-1367,816,NA,NA
1594,305,Ant4-IIa_AGly,Ant4-IIa,no,yes,AGly___Ant4-IIa___M98270___145-903___759,Ant4-IIa,AGly,M98270,145-903,759,NA,NA
1595,306,RmtH_AGly,RmtH,no,no,AGly___RmtH___KC544262___666-1424___759,RmtH,AGly,KC544262,666-1424,759,NA,NA
1596,307,Ant4-IIb_AGly,Ant4-IIb,no,yes,AGly___Ant4-IIb___AY114142___1061-1816___756,Ant4-IIb,AGly,AY114142,1061-1816,756,NA,NA
1597,229,AadA_AGly,AadA1-pm,yes,no,AGly___AadA1-pm___JQ690540___7968-8798___831,AadA1-pm,AGly,JQ690540,7968-8798,831,NA,NA
1598,229,AadA_AGly,AadA1,yes,no,AGly___AadA1___M95287___3320-4111___792,AadA1,AGly,M95287,3320-4111,792,NA,NA
1599,229,AadA_AGly,AadA11,yes,no,AGly___AadA11___AJ567827___1-792___792,AadA11,AGly,AJ567827,1-792,792,NA,NA
1600,229,AadA_AGly,AadA12,yes,no,AGly___AadA12___AY665771___1-792___792,AadA12,AGly,AY665771,1-792,792,NA,NA
1601,229,AadA_AGly,AadA13,yes,no,AGly___AadA13___AY713504___1-798___798,AadA13,AGly,AY713504,1-798,798,NA,NA
1602,229,AadA_AGly,AadA15,yes,no,AGly___AadA15___DQ393783___1800-2591___792,AadA15,AGly,DQ393783,1800-2591,792,NA,NA
1603,229,AadA_AGly,AadA17,yes,no,AGly___AadA17___FJ460181___774-1565___792,AadA17,AGly,FJ460181,774-1565,792,NA,NA
1604,229,AadA_AGly,AadA1b,yes,no,AGly___AadA1b___JN596991___1364-2155___792,AadA1b,AGly,JN596991,1364-2155,792,NA,NA
1605,229,AadA_AGly,AadA2,yes,no,AGly___AadA2___X68227___66-945___780,AadA2,AGly,X68227,66-945,780,NA,NA
1606,229,AadA_AGly,AadA21,yes,no,AGly___AadA21___AY171244___47-838___792,AadA21,AGly,AY171244,47-838,792,NA,NA
1607,229,AadA_AGly,AadA22,yes,no,AGly___AadA22___AM261837___74-865___792,AadA22,AGly,AM261837,74-865,792,NA,NA
1608,229,AadA_AGly,AadA23,yes,no,AGly___AadA23___AJ809407___119-898___781,AadA23,AGly,AJ809407,119-898,781,NA,NA
1609,229,AadA_AGly,AadA24,yes,no,AGly___AadA24___HQ123586___88-768___781,AadA24,AGly,HQ123586,88-768,781,NA,NA
1610,229,AadA_AGly,AadA3,yes,no,AGly___AadA3___AF047479___1296-2087___792,AadA3,AGly,AF047479,1296-2087,792,NA,NA
1611,229,AadA_AGly,AadA8,yes,no,AGly___AadA8___AF326210___1-792___792,AadA8,AGly,AF326210,1-792,792,NA,NA
1612,229,AadA_AGly,AadA8b,yes,no,AGly___AadA8b___AM040708___1174-1965___792,AadA8b,AGly,AM040708,1174-1965,792,NA,NA
1614,227,StrB_AGly,StrB,no,no,AGly___StrB___FJ474091___264-1100___837,StrB,AGly,FJ474091,264-1100,837,NA,NA
1615,226,AadA9_AGly,AadA9,no,no,AGly___AadA9___AJ420072___26773-27609___837,AadA9,AGly,AJ420072,26773-27609,837,NA,NA
1620,222,Aac3-III_AGly,Aac3-IIIb,yes,yes,AGly___Aac3-IIIb___L06160___984-1721___861,Aac3-IIIb,AGly,L06160,984-1721,861,NA,NA
1621,222,Aac3-III_AGly,Aac3-IIIc,yes,no,AGly___Aac3___-IIIc___L06161___106-945___861,Aac3-IIIc,AGly,L06161,106-945,861,NA,NA
1627,391,AacA43_AGly,AacA43,no,no,AGly___AacA43___HQ247816___639-1202___564,AacA43,AGly,HQ247816,639-1202,564,NA,NA
1628,390,Aac6-Iai-e_AGly,Aac6-Iae,yes,yes,AGly___3Aac6-Iae___AB104852___1935-2486___552,Aac6-Iae,AGly,AB104852,1935-2486,552,NA,NA
1629,390,Aac6-Iai-e_AGly,Aac6-Iai,yes,yes,AGly___Aac6-Iai___EU886977___544-1110___567,Aac6-Iai,AGly,EU886977,544-1110,567,NA,NA
1633,153,Ant6-Ia_AGly,Ant6-Ia,no,yes,AGly___Ant6-Ia___AF330699___22-930___909,Ant6-Ia,AGly,AF330699,22-930,909,NA,NA
1637,155,Aph2''I_AGly,Aph2''Id,yes,no,AGly___Aph2''Id___AF016483___131-1036___906,Aph2''Id,AGly,AF016483,131-1036,906,NA,NA
1638,155,Aph2''I_AGly,Aph2''Ie,yes,no,AGly___Aph2''Ie___AY939911___3536-4441___906,Aph2''Ie,AGly,AY939911,3536-4441,906,NA,NA
1664,399,Aac6-Iaf_AGly,Aac6-Iaf,no,yes,AGly___Aac6-Iaf___AB462903___1200-1751___552,Aac6-Iaf,AGly,AB462903,1200-1751,552,NA,NA
1665,399,Aac6-Iaf_AGly,Aac6-IL,no,yes,AGly___Aac6-IL___Z54241___530-1051___522,Aac6-IL,AGly,Z54241,530-1051,522,NA,NA
1666,399,Aac6-Iaf_AGly,Aac6-Iq,no,yes,AGly___Aac6-Iq___AF047556___127-678___552,Aac6-Iq,AGly,AF047556,127-678,552,NA,NA
1667,398,Aac6-33_AGly,Aac6-33,no,yes,AGly___Aac6-33___GQ337064___1203-1757___555,Aac6-33,AGly,GQ337064,1203-1757,555,NA,NA
1668,398,Aac6-33_AGly,Aac6-I30,no,yes,AGly___Aac6-I30___AY289608___1524-2078___555,Aac6-I30,AGly,AY289608,1524-2078,555,NA,NA
1676,43,AacAad_AGly,Aac6-31,yes,yes,AGly___Aac6-31___AJ640197___2474-2992___519,Aac6-31,AGly,AJ640197,2474-2992,519,NA,NA
1677,43,AacAad_AGly,Aac6-Ib,yes,yes,AGly___Aac6-Ib___M21682___380-985___606,Aac6-Ib,AGly,M21682,380-985,606,NA,NA
1679,43,AacAad_AGly,AacA4,yes,no,AGly___AacA4___AF416297___2738-3304___567,AacA4,AGly,AF416297,2738-3304,567,NA,NA
1680,43,AacAad_AGly,AadA10,yes,no,AGly___AadA10___U37105___2807-3640___834,AadA10,AGly,U37105,2807-3640,834,NA,NA
1681,43,AacAad_AGly,AadA16,yes,no,AGly___AadA16___EU675686___3197-4042___846,AadA16,AGly,EU675686,3197-4042,846,NA,NA
1682,43,AacAad_AGly,AadA6,yes,no,AGly___AadA6___AF140629___61-906___846,AadA6,AGly,AF140629,61-906,846,NA,NA
1683,43,AacAad_AGly,AadA7,yes,no,AGly___AadA7___AF224733___32-829___798,AadA7,AGly,AF224733,32-829,798,NA,NA
1684,43,AacAad_AGly,Ant3''Ih-Aac6-IId,yes,no,AGly___Ant3''Ih-Aac6-IId___AF453998___3555-4946___1392,Ant3''Ih-Aac6-IId,AGly,AF453998,3555-4946,1392,NA,NA
1686,41,Aac6-Aph2_AGly,Aac6-Aph2,no,yes,AGly___Aac6-Aph2___M13771___304-1743___1440,Aac6-Aph2,AGly,M13771,304-1743,1440,NA,NA
1678,43,AacAad_AGly,Aac6Ib-cr,yes,no,AGly___Flqn___Aac6Ib-cr___EF636461___1124-1642___519,Aac6Ib-cr,Agly,EF636461,1124-1642,519,NA,NA
836,16,Penicillin_Binding_Protein_Ecoli_Bla,Penicillin_Binding_Protein_Ecoli,no,no,Bla___Penicillin_Binding_Protein_Ecoli___CP002291___664439-666340___1902,Penicillin_Binding_Protein_Ecoli,Bla,CP002291,664439-666340,1902,NA,NA
69,292,LCR_Bla,Nps1,yes,no,Bla___Nps1___AY027589___46-828___783,Nps1,Bla,AY027589,46-828,783,NA,NA
70,292,LCR_Bla,LCR-1,yes,no,Bla___LCR-1,LCR-1,Bla,X56809,112-894,783,NA,NA
75,198,OXA-55_Bla,OXA-55,no,yes,Bla___OXA-55___AY343493___77-946___870,OXA-55,Bla,AY343493,77-946,870,carbapenem-hydrolyzing class D beta-lactamase OXA-55,Bla_Carb
77,194,CTX-M-8_Bla,CTX-M-8,no,yes,Bla___CTX-M-8___AF189721___274-1119___876,CTX-M-8,Bla,AF189721,274-1119,876,class A extended-spectrum beta-lactamase CTX-M-8,Bla_ESBL
78,194,CTX-M-8_Bla,CTX-M-25,no,yes,Bla___CTX-M-25___AF518567___2321-3196___876,CTX-M-25,Bla,AF518567,2321-3196,876,class A extended-spectrum beta-lactamase CTX-M-25,Bla_ESBL
79,194,CTX-M-8_Bla,CTX-M-26,no,yes,Bla___CTX-M-26___AY157676___1-876___876,CTX-M-26,Bla,AY157676,1-876,876,class A extended-spectrum beta-lactamase CTX-M-26,Bla_ESBL
80,194,CTX-M-8_Bla,CTX-M-39,no,yes,Bla___CTX-M-39___AY954516___1-876___876,CTX-M-39,Bla,AY954516,1-876,876,class A extended-spectrum beta-lactamase CTX-M-39,Bla_ESBL
81,194,CTX-M-8_Bla,CTX-M-40,no,yes,Bla___CTX-M-40___AY750914___207-1079___873,CTX-M-40,Bla,AY750914,207-1079,873,class A extended-spectrum beta-lactamase CTX-M-40,Bla_ESBL
82,194,CTX-M-8_Bla,CTX-M-41,no,yes,Bla___CTX-M-41___DQ023162___1-876___876,CTX-M-41,Bla,DQ023162,1-876,876,class A extended-spectrum beta-lactamase CTX-M-41,Bla_ESBL
83,194,CTX-M-8_Bla,CTX-M-63,no,yes,Bla___CTX-M-63___AB205197___4-876___873,CTX-M-63,Bla,AB205197,4-876,873,class A extended-spectrum beta-lactamase CTX-M-63,Bla_ESBL
