clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters
43,AadA10__1680,AGly,AacAad,AadA10,1680,U37105,2807-3640,834,no,no
43,AadA16__1681,AGly,AacAad,AadA16,1681,EU675686,3197-4042,846,no,no
43,AadA6__1682,AGly,AacAad,AadA6,1682,AF140629,61-906,846,no,no
43,AadA7__1683,AGly,AacAad,AadA7,1683,AF224733,32-829,798,no,no
43,Ant3''Ih-Aac6-IId__1684,AGly,AacAad,Ant3''Ih-Aac6-IId,1684,AF453998,3555-4946,1392,no,no
43,Aac6Ib-cr__1678,AGly,AacAad,Aac6Ib-cr,1678,EF636461,1124-1642,519,no,no
44,TetK__1673,Tet,TetK,TetK,1673,M16217,305-1684,1380,no,no
45,TetL__1674,Tet,TetL,TetL,1674,FN435329,1-1377,1377,no,no
46,Tet-38__1671,Tet,Tet-38,Tet-38,1671,HE579073,127367-128719,1353,no,no
47,VanS-B__1672,Gly,VanS-B,VanS-B,1672,AY655721,731-2073,1343,no,no
48,CmlV__1669,Phe,CmlV,CmlV,1669,U09991,28-1338,1311,no,no
49,AmpC1__1670,Bla,AmpC1_Ecoli,AmpC1,1670,FN649414,2765051-2766355,1305,no,no
50,Tet-42__1543,Tet,Tet-42,Tet-42,1543,EU523697,687-1973,1287,no,no
51,BlaA2__1542,Bla,BlaA2,BlaA2,1542,NC_010410,2507740-2509014,1275,no,no
52,TetA__1545,Tet,TetA,TetA,1545,NC_010410,3643133-3641859,1275,no,no
53,TetA-P__1544,Tet,TetA-P,TetA-P,1544,L20800,1063-2325,1263,no,no
54,EreB__1539,MLS,EreB,EreB,1539,X03988,383-1642,1260,no,no
55,CmlA1__1537,Phe,CmlA,CmlA1,1537,M64556,601-1860,1260,no,no
55,CmlA5__1538,Phe,CmlA,CmlA5,1538,NC_010410,3659201-3657942,1260,no,no
56,TetV__1541,Tet,TetV,TetV,1541,AF030344,1721-462,1260,no,no
57,AmpS__1540,Bla,AmpS,AmpS,1540,NC_014932,210005-211252,1248,no,no
58,PexA__1536,Phe,PexA,PexA,1536,HM537013,25302-24055,1248,no,no
59,Tet-31__1535,Tet,Tet-31,Tet-31,1535,AJ250203,1651-2883,1233,no,no
60,MefB__1203,MLS,MefB,MefB,1203,HQ875016,11177-9948,1230,no,no
61,Tet-33__1204,Tet,Tet-33,Tet-33,1204,AJ420072,22940-24163,1224,no,no
62,EreA__839,MLS,EreA,EreA,839,AY183453,2730-3950,1221,no,no
63,Tet-40__1546,Tet,Tet-40,Tet-40,1546,AM419751,14211-15431,1221,no,no
64,MefA__1210,MLS,MefA,MefA,1210,U70055,314-1531,1218,no,no
65,TetE__1211,Tet,TetE,TetE,1211,DQ366299,36-1253,1218,no,no
66,FloR__1212,Phe,FloR,FloR,1212,AKLJ01000508,1597-383,1215,no,no
67,TetB__1213,Tet,TetB,TetB,1213,AB089594,1-1206,1206,no,no
68,TetJ__1057,Tet,TetJ,TetJ,1057,AF038993,1084-2280,1197,no,no
70,TetC__1051,Tet,TetC,TetC,1051,EU751612,1-1191,1191,no,no
71,Dha1__1050,Phe,Dha1,Dha1,1050,HE579073,2468756-2467569,1188,no,no
72,Tet-39__1049,Tet,Tet-39,Tet-39,1049,AY743590,749-1936,1188,no,no
73,Tet-30__1048,Tet,Tet-30,Tet-30,1048,AF090987,1130-2314,1185,no,no
74,TetD__1047,Tet,TetD,TetD,1047,AB089602,1-1185,1185,no,no
75,Tet-41__1046,Tet,Tet-41,Tet-41,1046,AY264780,3006-1825,1182,no,no
76,Cml__1045,Phe,Cml,Cml,1045,X59968,508-1686,1179,no,no
77,OqxA__1044,Flq,OqxA,OqxA,1044,EU370913,46652-47827,1176,no,no
78,CmrA__1053,Phe,CmrA,CmrA,1053,Z12001,993-2168,1176,no,no
79,Cmr__1052,Phe,Cmr,Cmr,1052,U85507,3518-4693,1176,no,no
80,TetG__632,Tet,TetG,TetG,632,NC_010410,3672607-3671432,1176,no,no
81,TetY__633,Tet,TetY,TetY,633,AF070999,1680-2855,1176,no,no
82,ACC-1__621,Bla,ACC-1,ACC-1,621,AM939419,4945-3785,1161,no,no
82,ACC-2__622,Bla,ACC-1,ACC-2,622,AF180952,1565-2737,1173,no,no
82,ACC-3__623,Bla,ACC-1,ACC-3,623,AF180957,1-1131,1131,no,no
82,ACC-4__624,Bla,ACC-1,ACC-4,624,EF504260,3155-1995,1161,no,no
83,OCH-2__625,Bla,OCH-2,OCH-2,625,AJ295340,1-1173,1173,no,no
83,OCH-3__626,Bla,OCH-2,OCH-3,626,AJ295341,1-1173,1173,no,no
83,OCH-4__627,Bla,OCH-2,OCH-4,627,AJ295342,1-1173,1173,no,no
83,OCH-5__628,Bla,OCH-2,OCH-5,628,AJ295343,1-1173,1173,no,no
83,OCH-6__629,Bla,OCH-2,OCH-6,629,AJ295344,1-1173,1173,no,no
83,OCH-7__630,Bla,OCH-2,OCH-7,630,AJ295345,1-1173,1173,no,no
83,OCH-8__631,Bla,OCH-2,OCH-8,631,DQ489307,1071-2243,1173,no,no
84,NorA__638,Flq,NorA,NorA,638,HE579073,721034-722200,1167,no,no
85,TetX__639,Tet,TetX,TetX,639,M37699,586-1752,1167,no,no
86,AmpH__634,Bla,AmpH,AmpH,634,CP003785,4208384-4209544,1161,no,no
87,VanS-A__635,Gly,VanS-A,VanS-A,635,M97297,4649-5803,1155,no,no
87,VanS-Pt__637,Gly,VanS-A,VanS-Pt,637,AY926880,1391-2551,1161,no,no
87,VanS-Pt2__636,Gly,VanS-A,VanS-Pt2,636,DQ018710,3721-4881,1161,no,no
88,Erm38__614,MLS,Erm38,Erm38,614,AY154657,63-1223,1161,no,no
89,AMPH__615,Bla,AMPH_Ecoli,AMPH,615,AP012030,395554-396711,1158,no,no
90,TetZ__368,Tet,TetZ,TetZ,368,AF121000,13034-11880,1155,no,no
91,CMY-1__362,Bla,CMY-MOX,CMY-1,362,X92508,333-1481,1149,no,no
91,CMY-10__365,Bla,CMY-MOX,CMY-10,365,AF373217,1-1149,1149,no,no
91,CMY-11__366,Bla,CMY-MOX,CMY-11,366,AF381626,254-1402,1149,no,no
91,CMY-19__367,Bla,CMY-MOX,CMY-19,367,AB194410,1-1149,1149,no,no
91,CMY-8__363,Bla,CMY-MOX,CMY-8,363,AF167990,613-1761,1149,no,no
91,CMY-9__364,Bla,CMY-MOX,CMY-9,364,AB061794,6018-7166,1149,no,no
91,MOX-1__355,Bla,CMY-MOX,MOX-1,355,D13304,233-1381,1149,no,no
91,MOX-2__356,Bla,CMY-MOX,MOX-2,356,AJ276453,4620-5768,1149,no,no
91,MOX-3__357,Bla,CMY-MOX,MOX-3,357,EU515248,1-1149,1149,no,no
91,MOX-4__358,Bla,CMY-MOX,MOX-4,358,FJ262599,1-1149,1149,no,no
91,MOX-5__359,Bla,CMY-MOX,MOX-5,359,GQ152600,1-1152,1152,no,no
91,MOX-6__360,Bla,CMY-MOX,MOX-6,360,GQ152601,1-1152,1152,no,no
91,MOX-7__361,Bla,CMY-MOX,MOX-7,361,GQ152602,1-1152,1152,no,no
92,BIL-1__372,Bla,CMY,BIL-1,372,X74512,127-1272,1146,no,no
92,CFE-1__371,Bla,CMY,CFE-1,371,AB107899,1008-2153,1146,no,no
92,CMY-104__451,Bla,CMY,CMY-104,451,KF150216,1-1146,1146,no,no
92,CMY-12__378,Bla,CMY,CMY-12,378,FR716828,847-1992,1146,no,no
92,CMY-13__379,Bla,CMY,CMY-13,379,AY339625,4786-3641,1146,no,no
92,CMY-14__380,Bla,CMY,CMY-14,380,EU600193,1702-2847,1146,no,no
92,CMY-15__381,Bla,CMY,CMY-15,381,AJ555823,1-1146,1146,no,no
92,CMY-16__382,Bla,CMY,CMY-16,382,FM995219,4817-3672,1146,no,no
92,CMY-17__383,Bla,CMY,CMY-17,383,AY513266,165-1310,1146,no,no
92,CMY-18__384,Bla,CMY,CMY-18,384,AY743434,47-1198,1152,no,no
92,CMY-2__373,Bla,CMY,CMY-2,373,AM779746,1-1146,1146,no,no
92,CMY-20__385,Bla,CMY,CMY-20,385,AY960293,1-1143,1143,no,no
92,CMY-21__386,Bla,CMY,CMY-21,386,DQ139328,161-1306,1146,no,no
92,CMY-22__387,Bla,CMY,CMY-22,387,DQ256079,1-1146,1146,no,no
92,CMY-23__388,Bla,CMY,CMY-23,388,DQ438952,161-1306,1146,no,no
92,CMY-24__389,Bla,CMY,CMY-24,389,EF415650,1-1146,1146,no,no
92,CMY-25__390,Bla,CMY,CMY-25,390,EU515249,1-1146,1146,no,no
92,CMY-26__391,Bla,CMY,CMY-26,391,AB300358,1-1146,1146,no,no
92,CMY-27__392,Bla,CMY,CMY-27,392,EU515250,1-1146,1146,no,no
92,CMY-28__393,Bla,CMY,CMY-28,393,EF561644,1-1146,1146,no,no
92,CMY-29__394,Bla,CMY,CMY-29,394,EF685371,1-1143,1143,no,no
92,CMY-30__395,Bla,CMY,CMY-30,395,EF685372,1-1143,1143,no,no
92,CMY-31__396,Bla,CMY,CMY-31,396,EF622224,1-1146,1146,no,no
92,CMY-32__397,Bla,CMY,CMY-32,397,EU496815,1-1146,1146,no,no
92,CMY-33__398,Bla,CMY,CMY-33,398,EU496816,1-1140,1140,no,no
92,CMY-34__399,Bla,CMY,CMY-34,399,EF394370,1-1146,1146,no,no
92,CMY-35__400,Bla,CMY,CMY-35,400,EF394371,1-1146,1146,no,no
92,CMY-36__401,Bla,CMY,CMY-36,401,EU331426,2375-3520,1146,no,no
92,CMY-37__402,Bla,CMY,CMY-37,402,AB280919,1-1146,1146,no,no
92,CMY-38__403,Bla,CMY,CMY-38,403,AM931008,1-1146,1146,no,no
92,CMY-39__404,Bla,CMY,CMY-39,404,AB372224,1-1146,1146,no,no
92,CMY-4__374,Bla,CMY,CMY-4,374,AF420597,1-1146,1146,no,no
92,CMY-40__405,Bla,CMY,CMY-40,405,EU515251,1-1146,1146,no,no
92,CMY-41__406,Bla,CMY,CMY-41,406,AB429270,15-1160,1146,no,no
92,CMY-42__407,Bla,CMY,CMY-42,407,HM146927,1-1146,1146,no,no
92,CMY-43__408,Bla,CMY,CMY-43,408,FJ360626,1-1146,1146,no,no
92,CMY-44__409,Bla,CMY,CMY-44,409,FJ437066,1-1134,1134,no,no
92,CMY-45__410,Bla,CMY,CMY-45,410,FN546177,1-1146,1146,no,no
92,CMY-46__411,Bla,CMY,CMY-46,411,FN556186,1-1146,1146,no,no
92,CMY-47__412,Bla,CMY,CMY-47,412,HM046998,1040-2185,1146,no,no
92,CMY-48__413,Bla,CMY,CMY-48,413,HM569226,1040-2185,1146,no,no
92,CMY-49__414,Bla,CMY,CMY-49,414,GQ402541,1-1146,1146,no,no
92,CMY-5__375,Bla,CMY,CMY-5,375,Y17716,2374-3519,1146,no,no
92,CMY-50__415,Bla,CMY,CMY-50,415,FN645444,1-1146,1146,no,no
92,CMY-51__416,Bla,CMY,CMY-51,416,JQ733571,1028-2173,1146,no,no
92,CMY-53__417,Bla,CMY,CMY-53,417,HQ336940,1-1146,1146,no,no
92,CMY-54__418,Bla,CMY,CMY-54,418,HM544039,1-1152,1152,no,no
92,CMY-55__419,Bla,CMY,CMY-55,419,HM544040,1-1146,1146,no,no
92,CMY-56__420,Bla,CMY,CMY-56,420,HQ322613,1-1146,1146,no,no
92,CMY-57__421,Bla,CMY,CMY-57,421,HQ285243,1-1146,1146,no,no
92,CMY-58__422,Bla,CMY,CMY-58,422,HQ185697,1268-2413,1146,no,no
92,CMY-6__376,Bla,CMY,CMY-6,376,AJ011293,1-1146,1146,no,no
92,CMY-60__424,Bla,CMY,CMY-60,424,JF460794,1-1146,1146,no,no
92,CMY-61__425,Bla,CMY,CMY-61,425,JF460795,1-1143,1143,no,no
92,CMY-62__426,Bla,CMY,CMY-62,426,JF460796,1-1146,1146,no,no
92,CMY-63__427,Bla,CMY,CMY-63,427,HQ650104,64-1209,1146,no,no
92,CMY-64__428,Bla,CMY,CMY-64,428,HQ832678,1-1146,1146,no,no
92,CMY-65__429,Bla,CMY,CMY-65,429,JN714479,1041-2186,1146,no,no
92,CMY-66__430,Bla,CMY,CMY-66,430,JN714478,1035-2180,1146,no,no
92,CMY-67__431,Bla,CMY,CMY-67,431,JQ711185,1028-2173,1146,no,no
92,CMY-68__432,Bla,CMY,CMY-68,432,JN714480,1040-2185,1146,no,no
92,CMY-69__433,Bla,CMY,CMY-69,433,JX049132,1-1146,1146,no,no
92,CMY-7__377,Bla,CMY,CMY-7,377,AJ011291,1-1146,1146,no,no
92,CMY-70__434,Bla,CMY,CMY-70,434,JX440350,1027-2172,1146,no,no
92,CMY-71__435,Bla,CMY,CMY-71,435,JQ711184,1027-2172,1146,no,no
92,CMY-72__436,Bla,CMY,CMY-72,436,JX440352,1028-2173,1146,no,no
92,CMY-73__437,Bla,CMY,CMY-73,437,GQ351345,1-1146,1146,no,no
92,CMY-74__438,Bla,CMY,CMY-74,438,JX440349,1027-2172,1146,no,no
92,CMY-75__439,Bla,CMY,CMY-75,439,JQ733572,1028-2173,1146,no,no
92,CMY-76__440,Bla,CMY,CMY-76,440,JQ733573,1028-2173,1146,no,no
92,CMY-77__441,Bla,CMY,CMY-77,441,JX440353,1027-2172,1146,no,no
92,CMY-78__442,Bla,CMY,CMY-78,442,JQ733575,1028-2173,1146,no,no
92,CMY-79__443,Bla,CMY,CMY-79,443,JQ733576,1028-2173,1146,no,no
92,CMY-80__444,Bla,CMY,CMY-80,444,JQ733577,1027-2172,1146,no,no
92,CMY-81__445,Bla,CMY,CMY-81,445,JQ733578,1008-2153,1146,no,no
92,CMY-83__446,Bla,CMY,CMY-83,446,JX440351,1027-2172,1146,no,no
92,CMY-84__447,Bla,CMY,CMY-84,447,JQ733579,1028-2173,1146,no,no
92,CMY-87__448,Bla,CMY,CMY-87,448,AB699171,1-1143,1143,no,no
92,CMY-94__449,Bla,CMY,CMY-94,449,JX514368,272-1417,1146,no,no
92,CMY-95__450,Bla,CMY,CMY-95,450,JX514369,297-1442,1146,no,no
92,LAT-1__370,Bla,CMY,LAT-1,370,X78117,142-1287,1146,no,no
93,TRU-1__369,Bla,TRU-1,TRU-1,369,EU046614,1-1149,1149,no,no
94,FOX-1__453,Bla,FOX-1,FOX-1,453,X77455,701-1849,1149,no,no
94,FOX-10__462,Bla,FOX-1,FOX-10,462,JX049131,1-1149,1149,no,no
94,FOX-2__454,Bla,FOX-1,FOX-2,454,Y10282,19-1167,1149,no,no
94,FOX-3__455,Bla,FOX-1,FOX-3,455,Y11068,17-1165,1149,no,no
94,FOX-4__456,Bla,FOX-1,FOX-4,456,AJ277535,1-1149,1149,no,no
94,FOX-5__457,Bla,FOX-1,FOX-5,457,AY007369,1-1149,1149,no,no
94,FOX-6__458,Bla,FOX-1,FOX-6,458,AY034848,52-1200,1149,no,no
94,FOX-7__459,Bla,FOX-1,FOX-7,459,AJ703796,1-1149,1149,no,no
94,FOX-8__460,Bla,FOX-1,FOX-8,460,HM565917,1-1149,1149,no,no
94,FOX-9__461,Bla,FOX-1,FOX-9,461,JF896803,1-1149,1149,no,no
95,AmpC__452,Bla,AmpC,AmpC,452,AF211348,233-1378,1146,no,no
96,ACT-1__464,Bla,ACT-MIR,ACT-1,464,U58495,28-1173,1146,no,no
96,ACT-10__473,Bla,ACT-MIR,ACT-10,473,JN848330,1-1146,1146,no,no
96,ACT-12__474,Bla,ACT-MIR,ACT-12,474,JX440355,752-1897,1146,no,no
96,ACT-14__475,Bla,ACT-MIR,ACT-14,475,JX440354,757-1902,1146,no,no
96,ACT-15__476,Bla,ACT-MIR,ACT-15,476,JX440356,755-1900,1146,no,no
96,ACT-16__477,Bla,ACT-MIR,ACT-16,477,AB737978,1-1140,1140,no,no
96,ACT-2__465,Bla,ACT-MIR,ACT-2,465,AM076977,1-1146,1146,no,no
96,ACT-3__466,Bla,ACT-MIR,ACT-3,466,EU427302,1476-2618,1143,no,no
96,ACT-4__467,Bla,ACT-MIR,ACT-4,467,AJ311172,12-1157,1146,no,no
96,ACT-5__468,Bla,ACT-MIR,ACT-5,468,FJ237369,1-1146,1146,no,no
96,ACT-6__469,Bla,ACT-MIR,ACT-6,469,FJ237366,41-1186,1146,no,no
96,ACT-7__470,Bla,ACT-MIR,ACT-7,470,FJ237368,1-1146,1146,no,no
96,ACT-8__471,Bla,ACT-MIR,ACT-8,471,FN645445,1-1146,1146,no,no
96,ACT-9__472,Bla,ACT-MIR,ACT-9,472,HQ693810,1009-2151,1143,no,no
96,CMG__484,Bla,ACT-MIR,CMG,484,AY265892,1-1054,1054,no,no
96,MIR-1__478,Bla,ACT-MIR,MIR-1,478,M37839,928-2073,1146,no,no
96,MIR-2__479,Bla,ACT-MIR,MIR-2,479,AY227752,89-1234,1146,no,no
96,MIR-3__480,Bla,ACT-MIR,MIR-3,480,AY743435,14-1159,1146,no,no
96,MIR-4__481,Bla,ACT-MIR,MIR-4,481,EF587233,1-1101,1101,no,no
96,MIR-6__482,Bla,ACT-MIR,MIR-6,482,JQ664733,1-1146,1146,no,no
96,MIR-8__483,Bla,ACT-MIR,MIR-8,483,FJ237367,1-1146,1146,no,no
96,ZEG-1__485,Bla,ACT-MIR,ZEG-1,485,AY265891,1-1013,1013,no,no
97,VanS-D__463,Gly,VanS-D,VanS-D,463,AB242319,689-1834,1146,no,no
98,DHA-1__349,Bla,DHA,DHA-1,349,HM193083,987-2126,1140,no,no
98,DHA-2__350,Bla,DHA,DHA-2,350,AF259520,1513-2652,1140,no,no
98,DHA-3__351,Bla,DHA,DHA-3,351,AY494945,1310-2449,1140,no,no
98,DHA-5__352,Bla,DHA,DHA-5,352,JF273491,746-1885,1140,no,no
98,DHA-6__353,Bla,DHA,DHA-6,353,HQ322612,1-1140,1140,no,no
98,DHA-7__354,Bla,DHA,DHA-7,354,HQ456945,1-1140,1140,no,no
98,MOR__347,Bla,DHA,MOR,347,Y10283,546-1685,1140,no,no
98,Mor-2__348,Bla,DHA,Mor-2,348,AY235804,110-1249,1140,no,no
99,AmpC2__346,Bla,AmpC2_Ecoli,AmpC2,346,CP002970,332756-333889,1134,no,no
100,VanS-M__290,Gly,VanS-M,VanS-M,290,FJ349556,1673-2785,1113,no,no
101,ErmE__291,MLS,ErmE,ErmE,291,M11200,284-1396,1113,no,no
102,Tet-35__288,Tet,Tet-35,Tet-35,288,AF353562,3322-2213,1110,no,no
103,VanTr-L__289,Gly,VanTr-L,VanTr-L,289,EU250284,3558-4658,1101,no,no
104,VanS-F__294,Gly,VanS-F,VanS-F,294,AF155139,2200-3297,1098,no,no
105,VanS-L__295,Gly,VanS-L,VanS-L,295,EU250284,5416-6510,1095,no,no
106,VanS-C__292,Gly,VanS-C,VanS-C,292,DQ022190,4672-5757,1086,no,no
107,VanY-D__293,Gly,VanY-D,VanY-D,293,AB242319,1958-3025,1068,no,no
108,VanSc3__285,Gly,VanSc,VanSc3,285,AY033764,4604-5662,1059,no,no
108,VanSc4__286,Gly,VanSc,VanSc4,286,EU151753,4599-5663,1065,no,no
109,VanE__287,Gly,VanE,VanE,287,FJ872411,39736-40794,1059,no,no
110,VanH__1556,Gly,VanH,VanH,1556,DQ246438,124-1179,1056,no,no
110,VanH-Ac2__1558,Gly,VanH,VanH-Ac2,1558,AY618461,1-714,714,no,no
110,VanH-Ao1__1559,Gly,VanH,VanH-Ao1,1559,AF060799,534-1580,1047,no,no
110,VanH-Ao2__1560,Gly,VanH,VanH-Ao2,1560,HQ679900,1-1032,1032,no,no
111,OtrC__1555,Tet,OtrC,OtrC,1555,AY509111,324-1379,1056,no,no
112,VanC2-3__1564,Gly,VanC2-4,VanC2-3,1564,EU151755,29-1081,1053,no,no
112,VanC2__1565,Gly,VanC2-4,VanC2,1565,L29638,33-1085,1053,no,no
112,VanC3__1566,Gly,VanC2-4,VanC3,1566,AY033764,26-1078,1053,no,no
112,VanC4__1563,Gly,VanC2-4,VanC4,1563,EU151752,29-1081,1053,no,no
113,VanA-L__1562,Gly,VanL,VanA-L,1562,EU250284,955-2004,1050,no,no
114,CfrA__1548,MLS,CfrA,CfrA,1548,JQ041372,4967-6016,1050,no,no
115,VanA-Ao2__1547,Gly,VanA-Ao2,VanA-Ao2,1547,HQ679900,1034-2080,1047,no,no
116,VanC__1553,Gly,VanC1,VanC,1553,AF162694,1411-2442,1032,no,no
116,VanC1__1554,Gly,VanC1,VanC1,1554,EU151769,31-1062,1032,no,no
117,VanA-A__1550,Gly,VanA,VanA-A,1550,M97297,6979-8010,1032,no,no
117,VanA-M__1551,Gly,VanA,VanA-M,1551,FJ349556,4857-5888,1032,no,no
117,VanHA-Bc__1552,Gly,VanA,VanHA-Bc,1552,Y15704,23-1054,1032,no,no
118,VanA-D__1568,Gly,VanA-D,VanA-D,1568,AY082011,5901-6932,1032,no,no
119,VanAE-Pp__1567,Gly,VanAE-Pp,VanAE-Pp,1567,AF155139,5940-6971,1032,no,no
120,VanA-B__1059,Gly,VanB,VanA-B,1059,AF192329,28835-29863,1029,no,no
120,VanB__1058,Gly,VanB,VanB,1058,AY655710,1-1029,1029,no,no
120,VanB__1060,Gly,VanB,VanB,1060,AY655721,4857-5885,1029,no,no
121,Aph4-Ia__1061,AGly,Aph4-Ia,Aph4-Ia,1061,V01499,231-1256,1026,no,no
122,ErmR__1062,MLS,ErmR,ErmR,1062,M11276,333-1355,1023,no,no
123,BlaA1__1063,Bla,BlaA1,BlaA1,1063,NC_010410,1804499-1803480,1020,no,no
124,Erm30__1064,MLS,Erm30,Erm30,1064,AF079138,2293-1283,1011,no,no
125,Aac3-Ib__1065,AGly,Aac3-Ib,Aac3-Ib,1065,L06157,555-1085,531,no,no
125,Aac3-Ib-Aac6-Ib__1066,AGly,Aac3-Ib,Aac3-Ib-Aac6-Ib,1066,AF355189,1435-2439,1005,no,no
125,Aac3-If__1067,AGly,Aac3-Ib,Aac3-If,1067,AY884051,61-525,465,no,no
126,Aph4-Ib__1068,AGly,Aph4-Ib,Aph4-Ib,1068,X03615,232-1230,999,no,no
127,Aph9-Ia__1069,AGly,Aph9-Ia,Aph9-Ia,1069,U94857,151-1146,996,no,no
128,CfxA__1070,Bla,CfxA,CfxA,1070,U38243,150-1115,966,no,no
128,CfxA2__1071,Bla,CfxA,CfxA2,1071,AF504910,1-966,966,no,no
128,CfxA4__1073,Bla,CfxA,CfxA4,1073,AY769933,1-966,966,no,no
128,CfxA5__1074,Bla,CfxA,CfxA5,1074,AY769934,28-993,966,no,no
128,CfxA6__1075,Bla,CfxA,CfxA6,1075,GQ342996,798-1793,996,no,no
129,VanTm-L__1076,Gly,VanTm-L,VanTm-L,1076,EU250284,2575-3564,990,no,no
130,CphA1__556,Bla,CphA1,CphA1,556,NC_000918,1270521-1269541,981,no,no
131,VanH-E__555,Gly,VanH-M,VanH-E,555,AF155139,4979-5947,969,no,no
131,VanH-M__554,Gly,VanH-M,VanH-M,554,FJ349556,3884-4864,981,no,no
132,OleC__553,MLS,OleC,OleC,553,L06249,1528-2505,978,no,no
133,VanH-B__552,Gly,VanH-B,VanH-B,552,AF192329,27871-28842,972,no,no
134,VanH-D__572,Gly,VanH-D,VanH-D,572,AY082011,4937-5908,972,no,no
135,VanH-A__571,Gly,VanH-Pt,VanH-A,571,M97297,6018-6986,969,no,no
