unique_ID,ResFinderDBname,gene,allele,accession,cluster90%,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,final_gene
1212,tet(H)_2_AJ245947,tet(H),2,AJ245947,75,no,no,tet(H)
1213,tet(H)_3_Y15510,tet(H),3,Y15510,75,no,no,tet(H)
1214,tet(H)_4_U00792,tet(H),4,U00792,75,no,no,tet(H)
1206,tet(A)_2_X00006,tet(A),2,X00006,76,no,no,tet(A)
1207,tet(A)_3_AY196695,tet(A),3,AY196695,76,no,no,tet(A)
1208,tet(A)_4_AJ517790,tet(A),4,AJ517790,76,no,no,tet(A)
1209,tet(A)_5_AJ419171,tet(A),5,AJ419171,76,no,no,tet(A)
1210,tet(A)_6_AJ313332,tet(A),6,AJ313332,76,no,no,tet(A)
1204,tet(J)_1_ACLE01000065,tet(J),1,ACLE01000065,77,no,no,tet(J)
1205,tet(J)_2_AF038993,tet(J),2,AF038993,77,no,no,tet(J)
1232,blaPAO_1_AY083595,blaPAO,1,AY083595,78,no,no,blaPAO
1233,blaPAO_2_FJ666065,blaPAO,2,FJ666065,78,no,no,blaPAO
1234,blaPAO_3_FJ666073,blaPAO,3,FJ666073,78,no,no,blaPAO
1235,blaPAO_4_AY083592,blaPAO,4,AY083592,78,no,no,blaPAO
1226,tet(C)_1_NC_002109,tet(C),1,2109,79,no,no,tet(C)
1231,tet(C)_10_AY043299,tet(C),10,AY043299,79,no,no,tet(C)
1227,tet(C)_2_NC_003123,tet(C),2,3123,79,no,no,tet(C)
1228,tet(C)_5_NC_003213,tet(C),5,3213,79,no,no,tet(C)
1229,tet(C)_6_Y19114,tet(C),6,Y19114,79,no,no,tet(C)
1230,tet(C)_9_AY046276,tet(C),9,AY046276,79,no,no,tet(C)
876,blaBIL-1_1_X74512,blaBIL,1,X74512,80,yes,no,blaCMY
858,blaCMY-12_1_Y16785,blaCMY,1,Y16785,80,yes,yes,blaCMY
844,blaCMY-13_1_AY339625,blaCMY,1,AY339625,80,yes,yes,blaCMY
841,blaCMY-14_1_EU600193,blaCMY,1,EU600193,80,yes,yes,blaCMY
852,blaCMY-14_2_AJ555825,blaCMY,2,AJ555825,80,yes,yes,blaCMY
853,blaCMY-15_1_AJ555823,blaCMY,1,AJ555823,80,yes,yes,blaCMY
830,blaCMY-16_1_FM995219,blaCMY,1,FM995219,80,yes,yes,blaCMY
840,blaCMY-16_2_FJ855437,blaCMY,2,FJ855437,80,yes,yes,blaCMY
861,blaCMY-17_1_AY513266,blaCMY,1,AY513266,80,yes,yes,blaCMY
846,blaCMY-18_1_AY743434,blaCMY,1,AY743434,80,yes,yes,blaCMY
859,blaCMY-2_14_Y16784,blaCMY,14,Y16784,80,yes,yes,blaCMY
838,blaCMY-2_3_FR719923,blaCMY,3,FR719923,80,yes,yes,blaCMY
865,blaCMY-20_1_AY960293,blaCMY,1,AY960293,80,yes,yes,blaCMY
856,blaCMY-21_1_DQ139328,blaCMY,1,DQ139328,80,yes,yes,blaCMY
850,blaCMY-22_1_DQ256079,blaCMY,1,DQ256079,80,yes,yes,blaCMY
866,blaCMY-23_1_DQ438952,blaCMY,1,DQ438952,80,yes,yes,blaCMY
867,blaCMY-24_1_EF415650,blaCMY,1,EF415650,80,yes,yes,blaCMY
868,blaCMY-26_1_AB300358,blaCMY,1,AB300358,80,yes,yes,blaCMY
855,blaCMY-28_1_EF561644,blaCMY,1,EF561644,80,yes,yes,blaCMY
834,blaCMY-29_1_EF685371,blaCMY,1,EF685371,80,yes,yes,blaCMY
860,blaCMY-3_1_Y16783,blaCMY,1,Y16783,80,yes,yes,blaCMY
833,blaCMY-30_1_EF685372,blaCMY,1,EF685372,80,yes,yes,blaCMY
843,blaCMY-31_1_EU331425,blaCMY,1,EU331425,80,yes,yes,blaCMY
847,blaCMY-32_1_EU496815,blaCMY,1,EU496815,80,yes,yes,blaCMY
849,blaCMY-33_1_EU496816,blaCMY,1,EU496816,80,yes,yes,blaCMY
842,blaCMY-36_1_EU331426,blaCMY,1,EU331426,80,yes,yes,blaCMY
854,blaCMY-37_1_AB280919,blaCMY,1,AB280919,80,yes,yes,blaCMY
832,blaCMY-39_1_HM565135,blaCMY,1,HM565135,80,yes,yes,blaCMY
862,blaCMY-4_1_Y16781,blaCMY,1,Y16781,80,yes,yes,blaCMY
851,blaCMY-4_2_AF420597,blaCMY,2,AF420597,80,yes,yes,blaCMY
870,blaCMY-42_1_HM146927,blaCMY,1,HM146927,80,yes,yes,blaCMY
848,blaCMY-44_1_FJ437066,blaCMY,1,FJ437066,80,yes,yes,blaCMY
869,blaCMY-49_1_GQ402541,blaCMY,1,GQ402541,80,yes,yes,blaCMY
857,blaCMY-5_1_Y17716,blaCMY,1,Y17716,80,yes,yes,blaCMY
837,blaCMY-53_1_HQ336940,blaCMY,1,HQ336940,80,yes,yes,blaCMY
871,blaCMY-54_1_HM544039,blaCMY,1,HM544039,80,yes,yes,blaCMY
872,blaCMY-55_1_HM544040,blaCMY,1,HM544040,80,yes,yes,blaCMY
873,blaCMY-56_1_HQ322613,blaCMY,1,HQ322613,80,yes,yes,blaCMY
839,blaCMY-57_1_HQ285243,blaCMY,1,HQ285243,80,yes,yes,blaCMY
829,blaCMY-58_1_HQ185697,blaCMY,1,HQ185697,80,yes,yes,blaCMY
836,blaCMY-59_1_HQ267530,blaCMY,1,HQ267530,80,yes,yes,blaCMY
845,blaCMY-59_2_AB587082,blaCMY,2,AB587082,80,yes,yes,blaCMY
863,blaCMY-6_1_AJ011293,blaCMY,1,AJ011293,80,yes,yes,blaCMY
835,blaCMY-60_1_HQ267531,blaCMY,1,HQ267531,80,yes,yes,blaCMY
874,blaCMY-64_1_HQ832678,blaCMY,1,HQ832678,80,yes,yes,blaCMY
864,blaCMY-7_1_AY324388,blaCMY,1,AY324388,80,yes,yes,blaCMY
831,blaCMY-73_1_GQ351345,blaCMY,1,GQ351345,80,yes,yes,blaCMY
875,blaLAT-1_1_X78117,blaLAT,1,X78117,80,yes,no,blaCMY
877,tet(30)_1_AF090987,tet(30),1,AF090987,81,no,no,tet(30)
825,tet(D)_1_AF467077,tet(D),1,AF467077,82,no,no,tet(D)
826,tet(D)_3_D16172,tet(D),3,D16172,82,no,no,tet(D)
827,tet(D)_5_X65876,tet(D),5,X65876,82,no,no,tet(D)
828,tet(41)_1_AY264780,tet(41),1,AY264780,83,no,no,tet(41)
880,tet(G)_3_S52437,tet(G),3,S52437,84,no,yes,tet(G)
881,tet(G)_4_AF133140,tet(G),4,AF133140,84,no,yes,tet(G)
882,tet(G)_5_AF071555,tet(G),5,AF071555,84,no,yes,tet(G)
883,cmrA_1_Z12001,cmrA,1,Z12001,85,no,no,cmrA
878,cmx_1_U85507,cmx,1,U85507,86,no,no,cmx
879,oqxA_1_EU370913,oqxA,1,EU370913,87,no,no,oqxA
818,tet(G)_2_AF133139,tet(G),2,AF133139,88,no,yes,tet(G)
819,tet(Y)_1_EF495198,tet(Y),1,EF495198,89,no,no,tet(Y)
820,tet(Y)_5_AB089606,tet(Y),5,AB089606,89,no,no,tet(Y)
373,blaACC-1_1_AM939421,blaACC,1,AM939421,90,no,yes,blaACC
374,blaACC-1_2_AM939420,blaACC,2,AM939420,90,no,yes,blaACC
375,blaACC-2_1_AF180952,blaACC,1,AF180952,90,no,yes,blaACC
372,blaACC-4_1_GU256641,blaACC,1,GU256641,90,no,yes,blaACC
365,blaOCH-2_1_AJ295340,blaOCH,1,AJ295340,91,no,no,blaOCH
366,blaOCH-3_1_AJ295341,blaOCH,1,AJ295341,91,no,no,blaOCH
367,blaOCH-4_1_AJ295342,blaOCH,1,AJ295342,91,no,no,blaOCH
368,blaOCH-5_1_AJ295343,blaOCH,1,AJ295343,91,no,no,blaOCH
369,blaOCH-6_1_AJ295344,blaOCH,1,AJ295344,91,no,no,blaOCH
370,blaOCH-7_1_AJ295345,blaOCH,1,AJ295345,91,no,no,blaOCH
371,blaOCH-8_1_DQ489307,blaOCH,1,DQ489307,91,no,no,blaOCH
378,norA_1_M97169,norA,1,M97169,92,no,no,norA
376,tet(X)_1_GU014535,tet(X),1,GU014535,93,no,yes,tet(X)
377,tet(X)_2_M37699,tet(X),2,M37699,93,no,yes,tet(X)
380,VanS-Pt_3_DQ018710,VanS-Pt,3,DQ018710,94,no,no,VanS-Pt
382,VanS-Pt_5_DQ018711,VanS-Pt,5,DQ018711,94,no,no,VanS-Pt
381,VanS-Pt2_4_AY926880,VanS-Pt,4,AY926880,94,no,no,VanS-Pt
379,erm(38)_1_AY154657,erm(38),1,AY154657,95,no,no,erm(38)
384,tet(Z)_2_AF121000,tet(Z),2,AF121000,96,no,no,tet(Z)
385,tet(Z)_3_AY222818,tet(Z),3,AY222818,96,no,no,tet(Z)
383,VanS-A_2_M97297,VanS-A,2,M97297,97,no,no,VanS-A
362,blaMOX-5_1_GQ152600,blaMOX,1,GQ152600,98,no,yes,blaMOX
363,blaMOX-6_1_GQ152601,blaMOX,1,GQ152601,98,no,yes,blaMOX
364,blaMOX-7_1_GQ152602,blaMOX,1,GQ152602,98,no,yes,blaMOX
356,blaCMY-10_1_AF373218,blaCMY,1,AF373218,99,yes,yes,blaCMY
357,blaCMY-11_1_AF381626,blaCMY,1,AF381626,99,yes,yes,blaCMY
359,blaCMY-19_1_AB194410,blaCMY,1,AB194410,99,yes,yes,blaCMY
355,blaCMY-8_1_EF382672,blaCMY,1,EF382672,99,yes,yes,blaCMY
360,blaCMY-8_2_DQ094251,blaCMY,2,DQ094251,99,yes,yes,blaCMY
358,blaCMY-9_1_AB061794,blaCMY,1,AB061794,99,yes,yes,blaCMY
361,blaMOX-1_1_D13304,blaMOX,1,D13304,99,yes,yes,blaCMY
229,blaMOX-2_1_AJ276453,blaMOX,1,AJ276453,100,no,yes,blaMOX
228,blaMOX-3_1_EU515248,blaMOX,1,EU515248,100,no,yes,blaMOX
227,blaMOX-4_1_FJ262599,blaMOX,1,FJ262599,100,no,yes,blaMOX
230,blaFOX-1_1_X77455,blaFOX,1,X77455,101,no,yes,blaFOX
233,blaFOX-2_1_Y10282,blaFOX,1,Y10282,101,no,yes,blaFOX
234,blaFOX-3_1_Y11068,blaFOX,1,Y11068,101,no,yes,blaFOX
236,blaFOX-4_1_AJ277535,blaFOX,1,AJ277535,101,no,yes,blaFOX
231,blaFOX-5_1_AY007369,blaFOX,1,AY007369,101,no,yes,blaFOX
237,blaFOX-6_1_AY034848,blaFOX,1,AY034848,101,no,yes,blaFOX
235,blaFOX-7_1_AJ703796,blaFOX,1,AJ703796,101,no,yes,blaFOX
232,blaFOX-8_1_HM565917,blaFOX,1,HM565917,101,no,yes,blaFOX
225,blaFOX-9_1_JF896803,blaFOX,1,JF896803,102,no,yes,blaFOX
226,blaTRU_1_EU046614,blaTRU,1,EU046614,103,no,no,blaTRU
241,blaCMY-41_1_AB429270,blaCMY,1,AB429270,104,no,yes,blaCMY
242,blaCMY-47_1_HM046998,blaCMY,1,HM046998,104,no,yes,blaCMY
243,blaACT-1_1_U58495,blaACT,1,U58495,105,no,yes,blaACT
244,blaACT-2_1_AM076977,blaACT,1,AM076977,105,no,yes,blaACT
245,blaACT-3_1_EF125013,blaACT,1,EF125013,105,no,yes,blaACT
246,blaACT-4_1_EU427302,blaACT,1,EU427302,105,no,yes,blaACT
247,blaACT-4_2_AJ311172,blaACT,2,AJ311172,105,no,yes,blaACT
248,blaACT-6_1_FJ237366,blaACT,1,FJ237366,105,no,yes,blaACT
238,blaACT-5_1_FJ237369,blaACT,1,FJ237369,106,no,yes,blaACT
239,blaACT-7_1_FJ237368,blaACT,1,FJ237368,106,no,yes,blaACT
240,blaCFE-1_1_AB107899,blaCFE,1,AB107899,107,no,no,blaCFE
219,blaMIR-1_1_M37839,blaMIR,1,M37839,108,no,no,blaMIR
221,blaMIR-2_1_AY227752,blaMIR,1,AY227752,108,no,no,blaMIR
220,blaMIR-3_1_AY743435,blaMIR,1,AY743435,108,no,no,blaMIR
222,blaMIR-4_1_EF417572,blaMIR,1,EF417572,108,no,no,blaMIR
223,blaMIR-5_1_FJ237367,blaMIR,1,FJ237367,108,no,no,blaMIR
224,erm(E)_1_X51891,erm(E),1,X51891,109,no,yes,erm(E)
1818,VanS-D_1_AB242319,VanS-D,1,AB242319,110,no,yes,VanS-D
1817,VanS-D_3_AY489045,VanS-D,3,AY489045,111,no,yes,VanS-D
1828,tet(G)_1_AJ276217,tet(G),1,AJ276217,112,no,yes,tet(G)
1819,blaCMY-2_2_DQ478727,blaCMY,2,DQ478727,113,yes,yes,blaDHA
1820,blaDHA-1_2_Y16410,blaDHA,2,Y16410,113,yes,yes,blaDHA
1821,blaDHA-2_1_AF259520,blaDHA,1,AF259520,113,yes,yes,blaDHA
1822,blaDHA-3_1_AY494945,blaDHA,1,AY494945,113,yes,yes,blaDHA
1823,blaDHA-5_1_JF273491,blaDHA,1,JF273491,113,yes,yes,blaDHA
1824,blaDHA-6_1_HQ322612,blaDHA,1,HQ322612,113,yes,yes,blaDHA
1825,blaDHA-7_1_HQ456945,blaDHA,1,HQ456945,113,yes,yes,blaDHA
1826,blaMOR_1_Y10283,blaMOR,1,Y10283,113,yes,no,blaDHA
1827,blaMOR-2_1_AY235804,blaMOR,1,AY235804,113,yes,no,blaDHA
1814,tet(X)_3_AB097942,tet(X),3,AB097942,114,no,yes,tet(X)
1813,blaACC-3_1_AF180958,blaACC,1,AF180958,115,no,yes,blaACC
1816,erm(E)_2_M11200,erm(E),2,M11200,116,no,yes,erm(E)
1815,VanS-M_1_FJ349556,VanS-M,1,FJ349556,117,no,no,VanS-M
1830,tet(35)_1_AF353562,tet(35),1,AF353562,118,no,no,tet(35)
1829,VanS-G_1_AY271782,VanS-G,1,AY271782,119,no,no,VanS-G
1261,VanTr-L_1_EU250284,VanTr-L,1,EU250284,120,no,no,VanTr-L
1262,VanS-F_1_AF155139,VanS-F,1,AF155139,121,no,no,VanS-F
1263,VanS-L_1_EU250284,VanS-L,1,EU250284,122,no,no,VanS-L
1264,VanS-C_1_AF162694,VanS-C,1,AF162694,123,no,yes,VanS-C
1265,VanS-C_2_DQ022190,VanS-C,2,DQ022190,123,no,yes,VanS-C
1266,VanY-D_2_AF175293,VanY-D,2,AF175293,124,no,yes,VanY-D
1267,VanY-D_1_AB242319,VanY-D,1,AB242319,125,no,yes,VanY-D
1268,VanY-D_3_AY082011,VanY-D,3,AY082011,125,no,yes,VanY-D
1269,VanY-D_4_AY489045,VanY-D,4,AY489045,125,no,yes,VanY-D
1270,VanS-C_3_EU151752,VanS-C,3,EU151752,126,no,yes,VanS-C
1271,VanS-C_4_EU151753,VanS-C,4,EU151753,127,no,yes,VanS-C
1272,otr(C)_1_AY509111,otr(C),1,AY509111,128,no,no,otr(C)
1273,VanH-Ac1_6_DQ246438,VanH-Ac,6,DQ246438,129,no,no,VanH-Ac
1274,VanH-Ac2_7_AY618461,VanH-Ac,7,AY618461,129,no,no,VanH-Ac
725,blaCMG_1_AY265892,blaCMG,1,AY265892,130,no,no,blaCMG
722,VanA-C_3_EU151752,VanA-C,3,EU151752,131,no,yes,VanA-C
723,VanA-C_4_EU151753,VanA-C,4,EU151753,131,no,yes,VanA-C
724,VanA-C_5_EU151754,VanA-C,5,EU151754,131,no,yes,VanA-C
